M_months,CVA_VM,CVA_change_EUR,CVA_change_percent
1,0.0,-495406.2898210375,-100.0
2,29243.937550473816,-466162.35227056366,-94.09697895417557
3,47079.75102280212,-448326.53879823536,-90.49673934503144
4,60899.52443760619,-434506.76538343134,-87.70715558342917
5,72260.80973743784,-423145.4800835997,-85.41382876597275
6,82304.88246538874,-413101.40735564876,-83.38638726304406
7,91086.45621229209,-404319.8336087454,-81.61378688889951
8,99029.97060563228,-396376.3192154052,-80.01035258526768
9,106663.00551350266,-388743.2843075348,-78.4695899698742
10,114484.7791286904,-380921.5106923471,-76.89072959286662
11,118937.58093024218,-376468.7088907953,-75.99191141210426
12,127226.45848794322,-368179.8313330943,-74.3187639918938
13,131699.19368298943,-363707.0961380481,-73.41592216550885
14,135788.45869014217,-359617.8311308953,-72.5904855307358
15,144854.7217035483,-350551.5681174892,-70.76041934068375
16,149992.95681950348,-345413.333001534,-69.7232433456411
17,151682.40033816276,-343723.8894828748,-69.38222153114829
18,155466.3001870265,-339939.989634011,-68.61842423454337
19,161783.3523958218,-333622.9374252157,-67.34329867828988
20,170224.95250081713,-325181.33732022037,-65.63932352124357
21,175515.23258391072,-319891.05723712675,-64.57145656198378
22,176626.04025361736,-318780.2495674201,-64.34723501039471
23,178212.3498138436,-317193.9400071939,-64.02703125181924
24,181873.2970628053,-313532.99275823217,-63.288052493539006
25,185420.81945862752,-309985.47036240995,-62.57196905481162
26,188820.08879205585,-306586.20102898165,-61.885811167180385
27,193558.95921156282,-301847.3306094747,-60.929248742181926
28,199306.55432601363,-296099.7354950239,-59.769070675705
29,206493.3422254204,-288912.9475956171,-58.318385037054156
30,214983.99049152512,-280422.2993295124,-56.60450928687507
31,220079.7935057554,-275326.4963152821,-55.575898403458325
32,219818.97124076288,-275587.3185802746,-55.628546557176094
33,220016.42091553417,-275389.8689055033,-55.58869044738738
34,220323.27072115836,-275083.01909987914,-55.52675142644055
35,221290.62787701347,-274115.66194402403,-55.331486009805545
36,221674.98631225555,-273731.30350878194,-55.253901521449336
37,223306.96141413742,-272099.32840690005,-54.92447996677521
38,225312.07056467203,-270094.21925636544,-54.51973961693852
39,226622.7796578163,-268783.51016322116,-54.25516705900475
40,228198.41563368135,-267207.87418735615,-53.937117811702265
41,230476.2048698214,-264930.0849512161,-53.4773357534319
42,232915.8123031609,-262490.4775178766,-52.98488996025862
43,235854.84751509174,-259551.44230594576,-52.39163241139049
44,238497.40328034584,-256908.88654069166,-51.858220579617274
45,241062.8952372139,-254343.3945838236,-51.340364426076135
46,244084.8168368105,-251321.472984227,-50.730375885016585
47,247855.37751685033,-247550.91230418716,-49.96927115996315
48,251757.28099534338,-243649.00882569412,-49.18165429706411
49,255614.5761967441,-239791.7136242934,-48.403041816630285
50,259713.56883068915,-235692.72099034835,-47.575641616397505
51,263395.9761842525,-232010.31363678502,-46.83233103895337
52,267946.99585832586,-227459.29396271164,-45.91368713644712
53,272370.85271162196,-223035.43710941554,-45.02071162438929
54,277228.939300932,-218177.3505201055,-44.04008487637909
55,282233.8444413008,-213172.44537973672,-43.029822139873104
56,287627.8100787742,-207778.47974226333,-41.94102578255961
57,293260.51642058,-202145.77340045752,-40.80403853440808
58,299263.4531299103,-196142.83669112722,-39.59231861226119
59,305681.5210259592,-189724.76879507827,-38.29680258270746
60,312522.7042914082,-182883.58552962932,-36.91587880236541
